Sample in Buffer,Sample in Window,TRIGGER,cpu_test_i/PS_to_CPU_controller_0_enable_CPU,cpu_test_i/CPU_0_current_addr[15:0],cpu_test_i/PS_to_CPU_controller_0_CPU_done,cpu_test_i/bluex_0_ram_wr_data[31:0],cpu_test_i/blk_mem_gen_1_doutb[31:0],cpu_test_i/bluex_0_ram_en
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
153,153,0,1,feb1,0,00000000,00000000,0
154,154,0,1,feb2,0,00000000,00000000,0
155,155,0,1,feb3,0,00000000,00000000,0
156,156,0,1,feb4,0,00000000,00000000,0
157,157,0,1,feb5,0,00000000,00000000,0
158,158,0,1,feb6,0,00000000,00000000,0
159,159,0,1,feb7,0,00000000,00000000,0
160,160,0,1,feb8,0,00000000,00000000,0
161,161,0,1,feb9,0,00000000,00000000,0
162,162,0,1,feba,0,00000000,00000000,0
163,163,0,1,febb,0,00000000,00000000,0
164,164,0,1,febc,0,00000000,00000000,0
165,165,0,1,febd,0,00000000,00000000,0
166,166,0,1,febe,0,00000000,00000000,0
167,167,0,1,febf,0,00000000,00000000,0
168,168,0,1,fec0,0,00000000,00000000,0
169,169,0,1,fec1,0,00000000,00000000,0
170,170,0,1,fec2,0,00000000,00000000,0
171,171,0,1,fec3,0,00000000,00000000,0
172,172,0,1,fec4,0,00000000,00000000,0
173,173,0,1,fec5,0,00000000,00000000,0
174,174,0,1,fec6,0,00000000,00000000,0
175,175,0,1,fec7,0,00000000,00000000,0
176,176,0,1,fec8,0,00000000,00000000,0
177,177,0,1,fec9,0,00000000,00000000,0
178,178,0,1,feca,0,00000000,00000000,0
179,179,0,1,fecb,0,00000000,00000000,0
180,180,0,1,fecc,0,00000000,00000000,0
181,181,0,1,fecd,0,00000000,00000000,0
182,182,0,1,fece,0,00000000,00000000,0
183,183,0,1,fecf,0,00000000,00000000,0
184,184,0,1,fed0,0,00000000,00000000,0
185,185,0,1,fed1,0,00000000,00000000,0
186,186,0,1,fed2,0,00000000,00000000,0
187,187,0,1,fed3,0,00000000,00000000,0
188,188,0,1,fed4,0,00000000,00000000,0
189,189,0,1,fed5,0,00000000,00000000,0
190,190,0,1,fed6,0,00000000,00000000,0
191,191,0,1,fed7,0,00000000,00000000,0
192,192,0,1,fed8,0,00000000,00000000,0
193,193,0,1,fed9,0,00000000,00000000,0
194,194,0,1,feda,0,00000000,00000000,0
195,195,0,1,fedb,0,00000000,00000000,0
196,196,0,1,fedc,0,00000000,00000000,0
197,197,0,1,fedd,0,00000000,00000000,0
198,198,0,1,fede,0,00000000,00000000,0
199,199,0,1,fedf,0,00000000,00000000,0
200,200,0,1,fee0,0,00000000,00000000,0
201,201,0,1,fee1,0,00000000,00000000,0
202,202,0,1,fee2,0,00000000,00000000,0
203,203,0,1,fee3,0,00000000,00000000,0
204,204,0,1,fee4,0,00000000,00000000,0
205,205,0,1,fee5,0,00000000,00000000,0
206,206,0,1,fee6,0,00000000,00000000,0
207,207,0,1,fee7,0,00000000,00000000,0
208,208,0,1,fee8,0,00000000,00000000,0
209,209,0,1,fee9,0,00000000,00000000,0
210,210,0,1,feea,0,00000000,00000000,0
211,211,0,1,feeb,0,00000000,00000000,0
212,212,0,1,feec,0,00000000,00000000,0
213,213,0,1,feed,0,00000000,00000000,0
214,214,0,1,feee,0,00000000,00000000,0
215,215,0,1,feef,0,00000000,00000000,0
216,216,0,1,fef0,0,00000000,00000000,0
217,217,0,1,fef1,0,00000000,00000000,0
218,218,0,1,fef2,0,00000000,00000000,0
219,219,0,1,fef3,0,00000000,00000000,0
220,220,0,1,fef4,0,00000000,00000000,0
221,221,0,1,fef5,0,00000000,00000000,0
222,222,0,1,fef6,0,00000000,00000000,0
223,223,0,1,fef7,0,00000000,00000000,0
224,224,0,1,fef8,0,00000000,00000000,0
225,225,0,1,fef9,0,00000000,00000000,0
226,226,0,1,fefa,0,00000000,00000000,0
227,227,0,1,fefb,0,00000000,00000000,0
228,228,0,1,fefc,0,00000000,00000000,0
229,229,0,1,fefd,0,00000000,00000000,0
230,230,0,1,fefe,0,00000000,00000000,0
231,231,0,1,feff,0,00000000,00000000,0
232,232,0,1,ff00,0,00000000,00000000,0
233,233,0,1,ff01,0,00000000,00000000,0
234,234,0,1,ff02,0,00000000,00000000,0
235,235,0,1,ff03,0,00000000,00000000,0
236,236,0,1,ff04,0,00000000,00000000,0
237,237,0,1,ff05,0,00000000,00000000,0
238,238,0,1,ff06,0,00000000,00000000,0
239,239,0,1,ff07,0,00000000,00000000,0
240,240,0,1,ff08,0,00000000,00000000,0
241,241,0,1,ff09,0,00000000,00000000,0
242,242,0,1,ff0a,0,00000000,00000000,0
243,243,0,1,ff0b,0,00000000,00000000,0
244,244,0,1,ff0c,0,00000000,00000000,0
245,245,0,1,ff0d,0,00000000,00000000,0
246,246,0,1,ff0e,0,00000000,00000000,0
247,247,0,1,ff0f,0,00000000,00000000,0
248,248,0,1,ff10,0,00000000,00000000,0
249,249,0,1,ff11,0,00000000,00000000,0
250,250,0,1,ff12,0,00000000,00000000,0
251,251,0,1,ff13,0,00000000,00000000,0
252,252,0,1,ff14,0,00000000,00000000,0
253,253,0,1,ff15,0,00000000,00000000,0
254,254,0,1,ff16,0,00000000,00000000,0
255,255,0,1,ff17,0,00000000,00000000,0
256,256,0,1,ff18,0,00000000,00000000,0
257,257,0,1,ff19,0,00000000,00000000,0
258,258,0,1,ff1a,0,00000000,00000000,0
259,259,0,1,ff1b,0,00000000,00000000,0
260,260,0,1,ff1c,0,00000000,00000000,0
261,261,0,1,ff1d,0,00000000,00000000,0
262,262,0,1,ff1e,0,00000000,00000000,0
263,263,0,1,ff1f,0,00000000,00000000,0
264,264,0,1,ff20,0,00000000,00000000,0
265,265,0,1,ff21,0,00000000,00000000,0
266,266,0,1,ff22,0,00000000,00000000,0
267,267,0,1,ff23,0,00000000,00000000,0
268,268,0,1,ff24,0,00000000,00000000,0
269,269,0,1,ff25,0,00000000,00000000,0
270,270,0,1,ff26,0,00000000,00000000,0
271,271,0,1,ff27,0,00000000,00000000,0
272,272,0,1,ff28,0,00000000,00000000,0
273,273,0,1,ff29,0,00000000,00000000,0
274,274,0,1,ff2a,0,00000000,00000000,0
275,275,0,1,ff2b,0,00000000,00000000,0
276,276,0,1,ff2c,0,00000000,00000000,0
277,277,0,1,ff2d,0,00000000,00000000,0
278,278,0,1,ff2e,0,00000000,00000000,0
279,279,0,1,ff2f,0,00000000,00000000,0
280,280,0,1,ff30,0,00000000,00000000,0
281,281,0,1,ff31,0,00000000,00000000,0
282,282,0,1,ff32,0,00000000,00000000,0
283,283,0,1,ff33,0,00000000,00000000,0
284,284,0,1,ff34,0,00000000,00000000,0
285,285,0,1,ff35,0,00000000,00000000,0
286,286,0,1,ff36,0,00000000,00000000,0
287,287,0,1,ff37,0,00000000,00000000,0
288,288,0,1,ff38,0,00000000,00000000,0
289,289,0,1,ff39,0,00000000,00000000,0
290,290,0,1,ff3a,0,00000000,00000000,0
291,291,0,1,ff3b,0,00000000,00000000,0
292,292,0,1,ff3c,0,00000000,00000000,0
293,293,0,1,ff3d,0,00000000,00000000,0
294,294,0,1,ff3e,0,00000000,00000000,0
295,295,0,1,ff3f,0,00000000,00000000,0
296,296,0,1,ff40,0,00000000,00000000,0
297,297,0,1,ff41,0,00000000,00000000,0
298,298,0,1,ff42,0,00000000,00000000,0
299,299,0,1,ff43,0,00000000,00000000,0
300,300,0,1,ff44,0,00000000,00000000,0
301,301,0,1,ff45,0,00000000,00000000,0
302,302,0,1,ff46,0,00000000,00000000,0
303,303,0,1,ff47,0,00000000,00000000,0
304,304,0,1,ff48,0,00000000,00000000,0
305,305,0,1,ff49,0,00000000,00000000,0
306,306,0,1,ff4a,0,00000000,00000000,0
307,307,0,1,ff4b,0,00000000,00000000,0
308,308,0,1,ff4c,0,00000000,00000000,0
309,309,0,1,ff4d,0,00000000,00000000,0
310,310,0,1,ff4e,0,00000000,00000000,0
311,311,0,1,ff4f,0,00000000,00000000,0
312,312,0,1,ff50,0,00000000,00000000,0
313,313,0,1,ff51,0,00000000,00000000,0
314,314,0,1,ff52,0,00000000,00000000,0
315,315,0,1,ff53,0,00000000,00000000,0
316,316,0,1,ff54,0,00000000,00000000,0
317,317,0,1,ff55,0,00000000,00000000,0
318,318,0,1,ff56,0,00000000,00000000,0
319,319,0,1,ff57,0,00000000,00000000,0
320,320,0,1,ff58,0,00000000,00000000,0
321,321,0,1,ff59,0,00000000,00000000,0
322,322,0,1,ff5a,0,00000000,00000000,0
323,323,0,1,ff5b,0,00000000,00000000,0
324,324,0,1,ff5c,0,00000000,00000000,0
325,325,0,1,ff5d,0,00000000,00000000,0
326,326,0,1,ff5e,0,00000000,00000000,0
327,327,0,1,ff5f,0,00000000,00000000,0
328,328,0,1,ff60,0,00000000,00000000,0
329,329,0,1,ff61,0,00000000,00000000,0
330,330,0,1,ff62,0,00000000,00000000,0
331,331,0,1,ff63,0,00000000,00000000,0
332,332,0,1,ff64,0,00000000,00000000,0
333,333,0,1,ff65,0,00000000,00000000,0
334,334,0,1,ff66,0,00000000,00000000,0
335,335,0,1,ff67,0,00000000,00000000,0
336,336,0,1,ff68,0,00000000,00000000,0
337,337,0,1,ff69,0,00000000,00000000,0
338,338,0,1,ff6a,0,00000000,00000000,0
339,339,0,1,ff6b,0,00000000,00000000,0
340,340,0,1,ff6c,0,00000000,00000000,0
341,341,0,1,ff6d,0,00000000,00000000,0
342,342,0,1,ff6e,0,00000000,00000000,0
343,343,0,1,ff6f,0,00000000,00000000,0
344,344,0,1,ff70,0,00000000,00000000,0
345,345,0,1,ff71,0,00000000,00000000,0
346,346,0,1,ff72,0,00000000,00000000,0
347,347,0,1,ff73,0,00000000,00000000,0
348,348,0,1,ff74,0,00000000,00000000,0
349,349,0,1,ff75,0,00000000,00000000,0
350,350,0,1,ff76,0,00000000,00000000,0
351,351,0,1,ff77,0,00000000,00000000,0
352,352,0,1,ff78,0,00000000,00000000,0
353,353,0,1,ff79,0,00000000,00000000,0
354,354,0,1,ff7a,0,00000000,00000000,0
355,355,0,1,ff7b,0,00000000,00000000,0
356,356,0,1,ff7c,0,00000000,00000000,0
357,357,0,1,ff7d,0,00000000,00000000,0
358,358,0,1,ff7e,0,00000000,00000000,0
359,359,0,1,ff7f,0,00000000,00000000,0
360,360,0,1,ff80,0,00000000,00000000,0
361,361,0,1,ff81,0,00000000,00000000,0
362,362,0,1,ff82,0,00000000,00000000,0
363,363,0,1,ff83,0,00000000,00000000,0
364,364,0,1,ff84,0,00000000,00000000,0
365,365,0,1,ff85,0,00000000,00000000,0
366,366,0,1,ff86,0,00000000,00000000,0
367,367,0,1,ff87,0,00000000,00000000,0
368,368,0,1,ff88,0,00000000,00000000,0
369,369,0,1,ff89,0,00000000,00000000,0
370,370,0,1,ff8a,0,00000000,00000000,0
371,371,0,1,ff8b,0,00000000,00000000,0
372,372,0,1,ff8c,0,00000000,00000000,0
373,373,0,1,ff8d,0,00000000,00000000,0
374,374,0,1,ff8e,0,00000000,00000000,0
375,375,0,1,ff8f,0,00000000,00000000,0
376,376,0,1,ff90,0,00000000,00000000,0
377,377,0,1,ff91,0,00000000,00000000,0
378,378,0,1,ff92,0,00000000,00000000,0
379,379,0,1,ff93,0,00000000,00000000,0
380,380,0,1,ff94,0,00000000,00000000,0
381,381,0,1,ff95,0,00000000,00000000,0
382,382,0,1,ff96,0,00000000,00000000,0
383,383,0,1,ff97,0,00000000,00000000,0
384,384,0,1,ff98,0,00000000,00000000,0
385,385,0,1,ff99,0,00000000,00000000,0
386,386,0,1,ff9a,0,00000000,00000000,0
387,387,0,1,ff9b,0,00000000,00000000,0
388,388,0,1,ff9c,0,00000000,00000000,0
389,389,0,1,ff9d,0,00000000,00000000,0
390,390,0,1,ff9e,0,00000000,00000000,0
391,391,0,1,ff9f,0,00000000,00000000,0
392,392,0,1,ffa0,0,00000000,00000000,0
393,393,0,1,ffa1,0,00000000,00000000,0
394,394,0,1,ffa2,0,00000000,00000000,0
395,395,0,1,ffa3,0,00000000,00000000,0
396,396,0,1,ffa4,0,00000000,00000000,0
397,397,0,1,ffa5,0,00000000,00000000,0
398,398,0,1,ffa6,0,00000000,00000000,0
399,399,0,1,ffa7,0,00000000,00000000,0
400,400,0,1,ffa8,0,00000000,00000000,0
401,401,0,1,ffa9,0,00000000,00000000,0
402,402,0,1,ffaa,0,00000000,00000000,0
403,403,0,1,ffab,0,00000000,00000000,0
404,404,0,1,ffac,0,00000000,00000000,0
405,405,0,1,ffad,0,00000000,00000000,0
406,406,0,1,ffae,0,00000000,00000000,0
407,407,0,1,ffaf,0,00000000,00000000,0
408,408,0,1,ffb0,0,00000000,00000000,0
409,409,0,1,ffb1,0,00000000,00000000,0
410,410,0,1,ffb2,0,00000000,00000000,0
411,411,0,1,ffb3,0,00000000,00000000,0
412,412,0,1,ffb4,0,00000000,00000000,0
413,413,0,1,ffb5,0,00000000,00000000,0
414,414,0,1,ffb6,0,00000000,00000000,0
415,415,0,1,ffb7,0,00000000,00000000,0
416,416,0,1,ffb8,0,00000000,00000000,0
417,417,0,1,ffb9,0,00000000,00000000,0
418,418,0,1,ffba,0,00000000,00000000,0
419,419,0,1,ffbb,0,00000000,00000000,0
420,420,0,1,ffbc,0,00000000,00000000,0
421,421,0,1,ffbd,0,00000000,00000000,0
422,422,0,1,ffbe,0,00000000,00000000,0
423,423,0,1,ffbf,0,00000000,00000000,0
424,424,0,1,ffc0,0,00000000,00000000,0
425,425,0,1,ffc1,0,00000000,00000000,0
426,426,0,1,ffc2,0,00000000,00000000,0
427,427,0,1,ffc3,0,00000000,00000000,0
428,428,0,1,ffc4,0,00000000,00000000,0
429,429,0,1,ffc5,0,00000000,00000000,0
430,430,0,1,ffc6,0,00000000,00000000,0
431,431,0,1,ffc7,0,00000000,00000000,0
432,432,0,1,ffc8,0,00000000,00000000,0
433,433,0,1,ffc9,0,00000000,00000000,0
434,434,0,1,ffca,0,00000000,00000000,0
435,435,0,1,ffcb,0,00000000,00000000,0
436,436,0,1,ffcc,0,00000000,00000000,0
437,437,0,1,ffcd,0,00000000,00000000,0
438,438,0,1,ffce,0,00000000,00000000,0
439,439,0,1,ffcf,0,00000000,00000000,0
440,440,0,1,ffd0,0,00000000,00000000,0
441,441,0,1,ffd1,0,00000000,00000000,0
442,442,0,1,ffd2,0,00000000,00000000,0
443,443,0,1,ffd3,0,00000000,00000000,0
444,444,0,1,ffd4,0,00000000,00000000,0
445,445,0,1,ffd5,0,00000000,00000000,0
446,446,0,1,ffd6,0,00000000,00000000,0
447,447,0,1,ffd7,0,00000000,00000000,0
448,448,0,1,ffd8,0,00000000,00000000,0
449,449,0,1,ffd9,0,00000000,00000000,0
